               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032533,            0.012291,                   0,              0.8804,             0.88844,             0.90708,             0.45224,            0.038832,           0.0086594,                   0,            0.070375,           0.0032917,           0.0032917
                   1,            0.033007,            0.012053,                   0,              0.8446,             0.88793,             0.89354,             0.42526,            0.039902,           0.0088023,                   0,            0.040309,           0.0065594,           0.0065594
                   2,            0.036681,            0.012218,                   0,             0.87761,             0.86543,             0.88585,             0.46343,            0.038425,           0.0090858,                   0,            0.010178,           0.0097612,           0.0097612
                   3,            0.037305,            0.012405,                   0,             0.89284,             0.86193,              0.9215,             0.41228,            0.041113,           0.0089147,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.038027,            0.011767,                   0,             0.90102,             0.86322,             0.92747,             0.43839,            0.038231,           0.0091417,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.037078,            0.011719,                   0,             0.91591,             0.84508,             0.92057,             0.43286,            0.040466,           0.0089927,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.036083,             0.01248,                   0,             0.86864,             0.91208,             0.91968,             0.44333,            0.037676,           0.0090917,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.035424,            0.011686,                   0,              0.9078,             0.86207,             0.92221,             0.42876,            0.040505,           0.0087711,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.035186,            0.012048,                   0,             0.86921,             0.87931,             0.89069,             0.44562,            0.037998,           0.0089199,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.035409,            0.011808,                   0,             0.93126,             0.87931,             0.92186,             0.42227,            0.039293,           0.0086374,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.035815,            0.011034,                   0,             0.86958,             0.91964,             0.94492,             0.44792,            0.038125,           0.0087754,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.034001,            0.011207,                   0,             0.93221,             0.87931,              0.9263,             0.43481,            0.038623,           0.0090927,                   0,             0.00901,             0.00901,             0.00901
